ID,state,year,gun_deaths,population,mass_shootings,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,assault_crime,burglary_crime,larceny_theft_crime,vehicle_theft_crime,other_crime,lawtotal,destructive_device,machinegun,silencer,short_barreled_rifle,short_barreled_shotgun,total_weapons,alcohol_abuse,mental,depression
1,Alabama,2016,488,4860545,15,18363,168828,275,1355,4864,11869,42484,115564,10780,186916,10,77283,19390,30849,3765,2234,134687,169,680,245
2,Alaska,2016,88,741522,1,4537,20259,31,533,594,3379,3105,15535,1619,24765,4,4651,1652,4213,1333,1268,13439,40,105,39
3,Arizona,2016,277,6908642,4,26528,226802,408,2191,6953,16976,50932,154137,21733,252922,11,86309,16318,28942,10351,2143,145248,304,902,310
4,Arkansas,2016,190,2988231,3,14711,103820,134,1321,2369,10887,32463,65796,5561,118397,11,45813,5189,14370,2464,1060,69500,123,468,181
5,California,2016,1265,39296476,46,164133,981939,1809,8331,58116,95877,228857,600558,152524,1144263,104,256420,29516,11702,9472,13423,324417,2088,5072,1786
6,Colorado,2016,207,5530105,4,16339,135001,129,2230,3164,10816,26196,97534,11271,151211,30,44598,7111,18689,4859,1660,77878,293,832,316
7,Connecticut,2016,68,3587685,6,10083,78259,133,595,3553,5802,15145,56413,6701,88209,89,12220,37939,8352,3374,983,63576,207,500,190
8,Delaware,2016,42,952698,2,5608,31078,51,326,1839,3392,7550,21593,1935,36635,39,2748,583,324,184,537,4408,49,129,48
9,District of Columbia,2016,106,684336,5,,,,,,,,,,,,39134,4496,308,787,1101,45895,49,103,40
10,Florida,2016,1001,20656589,30,101969,669035,987,5373,26086,69523,169119,458454,41462,770017,21,151672,34373,61015,18409,8310,277227,980,2769,979
11,Georgia,2016,548,10313620,17,39068,353449,555,2107,12372,24034,96947,226161,30341,391962,6,66433,28497,49357,8132,11175,165523,377,1341,508
12,Hawaii,2016,34,1428683,2,3603,45667,25,377,1065,2136,8706,31681,5280,49245,78,6863,410,143,59,62,7571,58,165,57
13,Idaho,2016,34,1680026,1,8191,68740,38,883,1012,6258,16746,48194,3800,76893,4,17172,4039,18176,2437,459,42924,75,262,92
14,Illinois,2016,946,12835726,42,3464,31436,22,533,213,2696,6513,23594,1329,34878,64,101572,30563,1717,2278,1716,138825,601,1526,545
15,Indiana,2016,420,6634007,8,57132,349064,704,3066,20386,32976,77472,242681,28911,405492,12,41343,18880,28395,4709,8816,103758,294,988,381
16,Iowa,2016,70,3130869,2,20983,199274,268,1760,6559,12396,48570,137204,13500,219989,25,15398,3495,983,521,965,22238,167,418,158
17,Kansas,2016,125,2907731,5,10602,89109,97,1146,1538,7821,19315,63774,6020,99614,7,22580,3667,7715,2276,966,37908,120,387,154
18,Kentucky,2016,288,4436113,2,10604,111170,188,1438,3748,5230,30433,74488,6239,121576,7,30580,13568,22238,2914,1811,72199,198,737,252
19,Louisiana,2016,527,4686157,13,25241,165667,500,1230,5297,18214,45437,110260,9970,190408,12,51268,6686,25203,3603,1712,89015,249,599,225
20,Maine,2016,18,1330232,2,1621,32900,24,389,412,796,7364,24547,989,34497,12,3320,4858,2467,1725,454,13402,65,187,76
21,Maryland,2016,429,6024752,11,31607,173309,426,1228,11054,18999,36704,118578,18027,204590,64,49865,26074,12340,4102,4068,97447,299,758,307
22,Massachusetts,2016,112,6823721,3,30737,154496,214,1784,6897,21842,37903,105124,11469,185019,100,15028,6705,6772,2312,981,32629,439,1034,400
23,Michigan,2016,385,9933445,11,48693,271501,580,4733,11522,31858,74345,169748,27408,319614,21,24561,12913,10146,2203,1244,52222,483,1320,521
24,Minnesota,2016,108,5525050,5,12515,136431,96,1798,3388,7233,24415,103429,8587,148850,41,42890,9264,5655,2404,1132,63999,263,759,292
25,Mississippi,2016,290,2985415,6,7999,88596,204,931,2777,4087,30453,52784,5360,96392,5,9628,4220,10589,1747,798,27408,111,385,133
26,Missouri,2016,515,6091176,10,27440,200858,420,1445,6185,19390,44197,140526,16135,227878,7,30433,9472,15052,4080,2499,62914,294,828,321
27,Montana,2016,42,1038656,0,2733,25409,25,332,154,2222,3692,20166,1551,28117,4,3675,2373,7928,1042,438,15900,63,164,62
28,Nebraska,2016,57,1907603,1,5093,48827,54,674,1020,3345,8318,36896,3613,53866,22,6291,2217,6576,1354,810,18011,91,258,98
29,Nevada,2016,205,2939254,3,17929,75004,158,965,5298,11508,22286,42533,10185,92775,15,35251,10336,14928,5504,954,67785,129,404,162
30,New Hampshire,2016,20,1335015,2,2204,29230,13,411,450,1330,5444,22789,997,31421,10,4253,9325,12120,3194,482,29821,69,204,84
31,New Jersey,2016,297,8978416,9,27055,183042,371,981,11818,13885,38732,128754,15556,209726,67,42674,7730,1130,1144,2568,55672,365,1062,421
32,New Mexico,2016,122,2085432,15,12147,70776,140,959,1616,9432,21023,44503,5250,82783,10,79180,3847,6159,2080,683,92251,120,298,104
33,New York,2016,416,19836286,15,76492,379710,868,2797,28630,44197,65839,293232,20639,455334,75,41055,12210,3466,4594,7449,70406,1018,2692,1026
34,North Carolina,2016,576,10156689,9,34679,329202,474,2002,9620,22554,102826,208057,18319,363378,30,84705,11947,24346,6697,2922,131539,389,1440,536
35,North Dakota,2016,18,755548,2,1548,12010,10,245,90,1203,2000,9137,873,13548,14,1926,1581,4836,642,271,9460,43,97,39
36,Ohio,2016,628,11622554,11,36306,376836,479,3730,16486,15611,107125,248581,21130,412663,16,78639,19952,30714,6137,5920,143234,591,1741,693
37,Oklahoma,2016,243,3921207,1,18100,129464,195,1469,3345,13091,37848,81303,10313,147369,9,16087,9136,32192,3804,1675,64063,174,545,216
38,Oregon,2016,95,4085989,2,9648,116657,96,1239,2421,5892,20035,87494,9128,126209,35,20825,6415,17537,4158,1439,51923,244,714,249
39,Pennsylvania,2016,556,12787085,10,46612,276366,653,3472,16375,26112,55206,204440,16720,322325,36,152262,17989,29742,7779,12835,222722,609,1861,677
40,Rhode Island,2016,14,1057566,2,2709,26959,29,298,782,1600,6124,18432,2403,29639,43,3187,639,29,119,113,4128,62,160,60
41,South Carolina,2016,387,4959822,5,27923,181098,265,1551,5017,21090,46261,121544,13293,208756,12,33365,8302,23451,3495,3922,73213,236,677,243
42,South Dakota,2016,23,861542,2,2196,15188,23,385,154,1634,3192,11196,800,17361,5,3761,1718,7320,547,194,13892,51,113,43
43,Tennessee,2016,470,6649404,12,38909,232855,359,2173,8361,28016,64293,153729,14833,271405,22,40466,13855,19736,5438,6010,87104,279,986,355
44,Texas,2016,1313,27904862,31,113231,951246,1249,7622,32843,71517,228597,654626,68023,1063228,18,224498,34848,165499,29509,7487,468581,1139,3196,1132
45,Utah,2016,70,3044321,1,5925,88316,53,983,1269,3620,15095,67242,5979,94188,11,16117,6699,26039,3725,1332,54367,102,464,162
46,Vermont,2016,13,623354,1,820,14160,7,141,76,596,3348,10373,439,14973,6,2548,1122,405,295,130,4723,37,104,38
47,Virginia,2016,398,8414380,11,17184,187403,376,1580,5678,9550,30804,145990,10609,204211,13,193728,33199,31205,12665,7705,281356,396,1261,501
48,Washington,2016,183,7280934,8,21138,249426,154,2579,5929,12476,55192,168490,25744,270410,43,43287,4229,21797,3967,822,75957,345,1139,422
49,West Virginia,2016,99,1828637,1,5586,41301,58,362,776,4390,10778,28104,2419,46829,21,16928,6774,5020,1349,1023,31540,70,300,118
50,Wisconsin,2016,222,5772917,2,14167,142781,155,1191,4516,8305,26636,107993,8152,156793,23,30096,7292,11156,3169,1224,53697,348,817,298
51,Wyoming,2016,18,584910,1,1117,13869,8,162,77,870,2151,11126,592,14978,9,120899,1774,3744,675,392,127787,32,85,33
